bga_id,bga_name,bgg_id,status,note
1741,Ark Nova,342942,kept,
1924,Terraforming Mars,167791,kept,
1635,Wingspan,266192,kept,
1539,CATAN,13,kept,
1467,Azul,230802,kept,
1841,Forest Shuffle,391163,kept,
1542,Ticket to Ride,9209,kept,
1,Carcassonne,822,kept,
1390,The Castles of Burgundy,84876,kept,
1394,Splendor,148228,kept,
2035,Harmonies,414317,kept,
2560,Azul: Queen's Garden,346965,kept,
1430,Agricola,200680,kept,
1266,7 Wonders Duel,173346,kept,
1428,Space Base,242302,kept,
1382,Lost Ruins of Arnak,312484,kept,
1131,7 Wonders,68448,kept,
1873,Heat: Pedal to the Metal,366013,kept,
1631,Sea Salt & Paper,367220,kept,
1594,It's a Wonderful World,271324,kept,
1008,6 nimmt!,432,kept,
1900,Ticket to Ride: Europe,14996,kept,
1015,Hanabi,98778,kept,
11,Can't Stop,41,kept,
2614,Wondrous Creatures,400366,kept,
2242,The White Castle,371942,kept,
2053,Castle Combo,416851,kept,
49,Yahtzee,2243,kept,
2670,Zombicide 2nd Edition,286751,kept,
2607,Double Seven,437939,kept,
2561,Hegemony: Lead Your Class to Victory,321608,kept,
1204,Lucky Numbers,118247,kept,
2386,Skull King,150145,kept,
1670,Gizmos,246192,kept,
1868,Faraway,385761,kept,
1148,Kingdomino,204583,kept,
2410,Forest Shuffle : Dartmoor,438402,kept,
1903,Splendor Duel,364073,kept,
2247,Flip 7,420087,kept,
1824,Rummy,15878,kept,
36,Hearts,6887,kept,
2553,The Gang,411567,kept,
1420,Patchwork,163412,kept,
2030,Cartographers,263918,kept,
1439,King of Tokyo,70323,kept,
2719,Jackpot: Set the Reel,447589,kept,
9,Lost Cities,50,kept,
13,Stone Age,34635,kept,
10,Race for the Galaxy,28143,kept,
1260,Hand and Foot,7475,kept,
1669,Super Mega Lucky Box,341530,kept,
1175,Potion Explosion,180974,kept,
1300,Welcome To,233867,kept,
2032,Scythe,169786,kept,
2593,Nemesis: Retaliation,381248,kept,
1249,Age of Innovation: a Terra Mystica game,383179,kept,
2082,Zenith,424219,kept,
2642,Fugitive,370597,kept,
1520,7 Wonders Architects,346703,kept,
1320,BANG!,3955,kept,
1432,Great Western Trail,341169,kept,
2471,Nucleum,396790,kept,
1879,Sky Team,373106,kept,
1495,Gaia Project,220308,kept,
1118,Terra Mystica,120677,kept,
1560,Memoir '44,10630,kept,
2244,Toy Battle,434654,kept,
2542,Ticket to Ride Maps,,dropped-placeholder,
2402,Galactic Cruise,391137,kept,
1331,Poker Texas Hold'em,1115,kept,
1482,A Feast for Odin,177736,kept,
1952,Solstis,411255,kept,
1383,Pandemic,30549,kept,
1681,Challengers!,359970,kept,
1911,Azul: Summer Pavilion,287954,kept,
2601,Emberleaf,426513,kept,
1763,Spite and Malice,1269,kept,
1210,CuBirds,245476,kept,
53,Backgammon,2397,kept,
1446,Tapestry,286096,kept,
2125,Darwin's Journey,322289,kept,
1128,French Tarot,4505,remapped,
1708,Earth,350184,kept,
1225,Kingdom Builder,107529,kept,
1044,Love Letter,277085,kept,
1113,Innovation,63888,kept,
1934,Flowers,404041,kept,
2565,Habitats,200853,kept,
1372,Railroad Ink,245654,kept,
2665,Terraforming Mars: The Dice Game,296108,kept,
14,Puerto Rico,3076,kept,
2718,Flip 7: With A Vengeance,463441,kept,
1918,Captain Flip,393325,kept,
2534,dnup,432456,kept,
1845,Formula D,37904,kept,
2375,Concordia,124361,kept,
1324,Wizard,1465,kept,
1603,Barrage,251247,kept,
1178,Papayoo,73365,kept,
1747,Bunny Kingdom,184921,kept,
2679,IPSO,460955,kept,
2537,Pili Pili,453584,kept,
1228,Chakra,267378,kept,
1384,Viticulture,128621,kept,
1492,The Isle of Cats,281259,kept,
2709,Bunny Kingdom Town,457283,kept,
2364,Challengers! Beach Cup,390340,remapped,
1509,Living Forest,328479,kept,
30,Seasons,108745,kept,
33,Jaipur,54043,kept,
2120,Orléans,164928,kept,
1237,Tichu,215,kept,
1799,Daybreak,334986,kept,
1309,Res Arcana,262712,kept,
1144,Through the Ages: A new Story of Civilization,182028,remapped,
2008,Distilled,295895,kept,
1214,Cribbage,2398,kept,
2533,Tipperary,378983,kept,
1804,Turing Machine,356123,kept,
1893,Twilight Imperium: Fourth Edition,233078,kept,
1933,The Vale of Eternity,385529,kept,
2662,Wayfarers of the South Tigris,350316,kept,
7,Alhambra,6249,kept,
1640,Obsession,231733,kept,
1768,Akropolis,357563,kept,
1984,Draft & Write Records,350185,kept,
2289,Welcome To The Moon,339789,kept,
2443,Dozito,449294,kept,
2433,Schotten Totten,372,kept,
1241,Spades,592,kept,
1533,Just One,254640,kept,
2506,Miams,446519,kept,
