scraped_at,run_id,game_id,game_name,rank_no,player_id,player_name,country_code,elo,nbr_game,device,status
2026-07-11 08:58:16,1,1467,Azul,1,91718783,CN_Azul,CN,2460,3171,desktop,offline
2026-07-11 08:58:16,1,1467,Azul,2,93789873,Zeus,DE,2308,3390,desktop,offline
2026-07-11 08:58:16,1,1467,Azul,3,97028246,hey-123,HK,2308,2466,mobile,offline
2026-07-11 08:58:16,1,1467,Azul,4,95528556,ac1dd,TH,2244,4033,desktop,offline
2026-07-11 08:58:16,1,1467,Azul,5,92900255,AbCdEfGhIj12345,DE,2242,916,mobile,offline
2026-07-11 08:58:16,1,1467,Azul,6,93129112,QuartzMoose,IN,2241,440,desktop,online
2026-07-11 08:58:16,1,1467,Azul,7,92156846,Focus,US,2223,2166,mobile,offline
2026-07-11 08:58:16,1,1467,Azul,8,85198318,DJOKER16,IN,2212,10171,mobile,offline
2026-07-11 08:58:16,1,1467,Azul,9,88188817,Giogdn,IT,2190,13010,mobile,offline
2026-07-11 08:58:16,1,1467,Azul,10,93210269,SuperMax,CN,2170,4649,desktop,offline
2026-07-11 08:58:16,1,11,Can't Stop,1,1577210,RyanMC,US,1871,219,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,2,92156846,Focus,US,1766,6193,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,3,31598883,flipflop,GB,1752,1410,desktop,offline
2026-07-11 08:58:16,1,11,Can't Stop,4,84092012,Karotka,CZ,1725,679,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,5,83970655,socrate68350,FR,1721,27,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,6,85739031,Ken Corbin,US,1706,2148,desktop,online
2026-07-11 08:58:16,1,11,Can't Stop,7,6858843,volballer01,US,1706,333,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,8,86347690,mpheise20,US,1695,408,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,9,86303230,IreenvA,NL,1691,144,mobile,offline
2026-07-11 08:58:16,1,11,Can't Stop,10,93789873,Zeus,DE,1691,1619,desktop,offline
2026-07-11 08:58:16,1,49,Yahtzee,1,98895728,Floffen,MM,1840,221,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,2,93728012,usgds,JP,1837,834,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,3,88165425,Lennart1991,IT,1823,6005,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,4,95656214,Symerio,FR,1815,800,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,5,93754802,Manta_5,JP,1814,235,desktop,offline
2026-07-11 08:58:16,1,49,Yahtzee,6,87160864,rrwhppb,CA,1780,787,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,7,100111643,Esther Fong,AU,1773,75,desktop,offline
2026-07-11 08:58:16,1,49,Yahtzee,8,88943452,Marmotte du lac,FR,1771,407,mobile,offline
2026-07-11 08:58:16,1,49,Yahtzee,9,88304457,ptarmigan61,US,1764,548,desktop,offline
2026-07-11 08:58:16,1,49,Yahtzee,10,97038834,_Burro_,IT,1757,182,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,1,94573021,Cournot,CA,2126,4974,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,2,84397768,dandee15,IT,2117,5298,mobile,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,3,67125879,WillH,GB,2109,1522,mobile,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,4,93183723,Trainalot,BE,2102,8373,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,5,86794658,bgrizzled,US,2086,1224,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,6,95362929,G7 womble,DE,2085,2583,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,7,96256434,Spry Guy,US,2084,5888,mobile,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,8,84414404,ZZiLL,FR,2077,7283,desktop,offline
2026-07-11 08:58:16,1,1542,Ticket to Ride,9,89523721,Schwen84,DE,2075,2358,mobile,online
2026-07-11 08:58:16,1,1542,Ticket to Ride,10,84800434,scorps4,US,2074,10424,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,1,91731654,mathew1134,US,1972,11962,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,2,1259869,yzemaze,DE,1971,3029,desktop,online
2026-07-11 08:58:16,1,10,Race for the Galaxy,3,83858048,frotes,US,1966,301,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,4,87984233,Mr Doubloon,US,1963,307,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,5,93974112,cryptomeria lake,US,1911,516,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,6,99227665,Length30cm,TW,1886,556,mobile,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,7,97188410,W0lle,DE,1884,1345,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,8,85494881,joutava,FI,1869,754,mobile,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,9,100024463,happy-alligator884,US,1865,1648,desktop,offline
2026-07-11 08:58:16,1,10,Race for the Galaxy,10,94703159,Teddy 5478,TW,1864,3855,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,1,85374165,3106kun,JP,2135,1983,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,2,93890828,Meeple_ID,US,2099,731,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,3,36269683,szigfrid,HU,2096,2531,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,4,96610271,Larpaattori,FI,2090,4823,desktop,offline
2026-07-11 08:58:16,1,1,Carcassonne,5,84360719,suburbiasuite,JP,2073,6380,desktop,offline
2026-07-11 08:58:16,1,1,Carcassonne,6,90128076,posij118,CZ,2071,3528,desktop,offline
2026-07-11 08:58:16,1,1,Carcassonne,7,94546376,trinidadec,UA,2069,3996,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,8,90039390,tomatoken,CN,2062,3828,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,9,85087743,StevenChangTW,TW,2057,9532,mobile,offline
2026-07-11 08:58:16,1,1,Carcassonne,10,90839284,RabbitRain,JP,2055,3298,desktop,online
2026-07-11 08:58:16,1,1266,7 Wonders Duel,1,89071628,frankenStain,BB,2196,539,desktop,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,2,94242289,smoula892,CZ,2174,1923,desktop,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,3,98022915,BuzzLightyear1006,CN,2115,1960,mobile,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,4,95158601,SchneckenJoe,DE,2059,992,mobile,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,5,89307891,Rui Xiao,US,2039,2353,mobile,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,6,88358335,Shaka_911,US,2016,663,mobile,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,7,86118470,A_little_seed,US,2012,708,desktop,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,8,96665901,FAITH33,HU,2011,1615,desktop,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,9,85843781,Arrigo II,IT,2006,4647,mobile,offline
2026-07-11 08:58:16,1,1266,7 Wonders Duel,10,95203388,Maxinger,DE,1980,1430,mobile,offline
2026-07-11 08:58:16,1,1741,Ark Nova,1,93599262,BDWSSBB,AU,2211,2944,desktop,offline
2026-07-11 08:58:16,1,1741,Ark Nova,2,97784313,New Zealand fur seal,AU,2208,245,mobile,offline
2026-07-11 08:58:16,1,1741,Ark Nova,3,82653384,duyanhcao,VN,2202,5619,mobile,offline
2026-07-11 08:58:16,1,1741,Ark Nova,4,94403316,Rincewind820,DE,2201,672,mobile,offline
2026-07-11 08:58:16,1,1741,Ark Nova,5,95192182,solomission,AQ,2194,2702,desktop,offline
2026-07-11 08:58:16,1,1741,Ark Nova,6,97645356,SakuraEcho,CN,2177,478,desktop,offline
2026-07-11 08:58:16,1,1741,Ark Nova,7,99661156,Betabowave,CN,2171,305,mobile,online
2026-07-11 08:58:16,1,1741,Ark Nova,8,86344862,Sir Fluffy,NZ,2167,199,desktop,offline
2026-07-11 08:58:16,1,1741,Ark Nova,9,98175359,trusting-seagull275,US,2166,3766,desktop,offline
