game_id,run_id,n_rows
1467,1,10
11,1,10
49,1,10
1542,1,10
10,1,10
1,1,10
1266,1,10
1741,1,10
1204,1,10
1131,1,10
1015,1,10
1394,1,10
30,1,10
1635,1,10
1008,1,10
1539,1,10
1210,1,10
53,1,10
1148,1,10
13,1,10
9,1,10
1119,1,10
1924,1,10
1841,1,10
1186,1,10
1520,1,10
1390,1,10
1228,1,10
1631,1,10
1594,1,10
1428,1,10
1167,1,10
1420,1,10
1382,1,10
1175,1,10
1900,1,10
1207,1,10
1300,1,10
33,1,10
1225,1,10
2035,1,10
1439,1,10
1868,1,10
14,1,10
37,1,10
1372,1,10
36,1,10
1320,1,10
1127,1,10
1918,1,10
1670,1,10
1083,1,10
2053,1,10
1258,1,10
1113,1,10
1909,1,10
61,1,10
1128,1,10
1430,1,10
1824,1,10
1669,1,10
1069,1,10
2030,1,10
1140,1,10
2247,1,10
1383,1,10
1214,1,10
43,1,10
81,1,10
1239,1,10
1952,1,10
1324,1,10
1309,1,10
1934,1,10
24,1,10
1572,1,10
1144,1,10
1426,1,10
1681,1,10
2244,1,10
1178,1,10
1115,1,10
79,1,10
1606,1,10
1523,1,10
1903,1,10
27,1,10
1003,1,10
1310,1,10
23,1,10
1227,1,10
1879,1,10
1468,1,10
1044,1,10
1118,1,10
1096,1,10
1485,1,10
1873,1,10
1146,1,10
39,1,10
1196,1,10
1804,1,10
80,1,10
28,1,10
1405,1,10
7,1,10
1480,1,10
2,1,10
35,1,10
1560,1,10
1586,1,10
1509,1,10
1945,1,10
1111,1,10
1799,1,10
1282,1,10
1514,1,10
1949,1,10
1768,1,10
1371,1,10
1336,1,10
2112,1,10
1412,1,10
1628,1,10
1742,1,10
1340,1,10
69,1,10
1446,1,10
1260,1,10
2242,1,10
1011,1,10
2109,1,10
1248,1,10
1911,1,10
1619,1,10
1402,1,10
1476,1,10
1109,1,10
1482,1,10
1409,1,10
1384,1,10
1195,1,10
1386,1,10
1070,1,10
1763,1,10
1495,1,10
1025,1,10
74,1,10
1592,1,10
1939,1,10
1179,1,10
1253,1,10
55,1,10
47,1,10
1187,1,10
1262,1,10
1299,1,10
1200,1,10
1257,1,10
1024,1,10
71,1,10
2342,1,10
1708,1,10
1432,1,10
2433,1,10
1747,1,10
1331,1,10
2407,1,10
1276,1,10
1010,1,10
1143,1,10
1190,1,10
1891,1,10
1561,1,10
1218,1,10
1103,1,10
2452,1,10
1505,1,10
1132,1,10
2542,1,10
1779,1,10
2386,1,10
1492,1,10
1483,1,10
1573,1,10
1548,1,10
1238,1,10
58,1,10
1203,1,10
1370,1,10
1640,1,10
1906,1,10
1237,1,10
1314,1,10
1603,1,10
2501,1,10
1648,1,10
1984,1,10
1966,1,10
1328,1,10
1802,1,10
1933,1,10
1630,1,10
2082,1,10
2083,1,10
2026,1,10
1213,1,10
1163,1,10
2254,1,10
2410,1,10
2147,1,10
2104,1,10
1533,1,10
2289,1,10
1296,1,10
1745,1,10
1385,1,10
1376,1,10
2216,1,10
1736,1,10
1621,1,10
1030,1,10
1889,1,10
1585,1,10
1662,1,10
62,1,10
1215,1,10
1855,1,10
2203,1,10
1378,1,10
1474,1,10
1321,1,10
1155,1,10
1273,1,10
1489,1,10
1749,1,10
2443,1,10
1241,1,10
1249,1,10
1086,1,10
1785,1,10
2303,1,10
2346,1,10
56,1,10
1087,1,10
2146,1,10
1783,1,10
1562,1,10
1406,1,10
1335,1,10
2412,1,10
1769,1,10
2506,1,10
1419,1,10
1354,1,10
1471,1,10
2272,1,10
1017,1,10
1738,1,10
1425,1,10
2096,1,10
2008,1,10
1751,1,10
1707,1,10
2125,1,10
1342,1,10
1133,1,10
1368,1,10
2537,1,10
1452,1,10
1360,1,10
2384,1,10
1772,1,10
1530,1,10
1665,1,10
1275,1,10
1396,1,10
1145,1,10
1820,1,10
1240,1,10
1014,1,10
2679,1,10
20,1,10
1897,1,10
1141,1,10
5,1,10
2356,1,10
1479,1,10
1236,1,10
2165,1,10
1188,1,10
2374,1,10
2031,1,10
75,1,10
1287,1,10
1007,1,10
1224,1,10
2016,1,10
1102,1,10
2314,1,10
2533,1,10
1130,1,10
1173,1,10
1845,1,10
1829,1,10
1970,1,10
2220,1,10
1871,1,10
2339,1,10
1836,1,10
2323,1,10
1252,1,10
1316,1,10
1369,1,10
1078,1,10
29,1,10
1997,1,10
2553,1,10
2057,1,10
1278,1,10
2207,1,10
2364,1,10
1848,1,10
54,1,10
1147,1,10
2032,1,10
1842,1,10
22,1,10
1664,1,10
2106,1,10
2116,1,10
1194,1,10
34,1,10
1963,1,10
2091,1,10
57,1,10
1206,1,10
1817,1,10
16,1,10
1590,1,10
1865,1,10
1181,1,10
1521,1,10
1755,1,10
1616,1,10
1477,1,10
51,1,10
2102,1,10
1712,1,10
63,1,10
1438,1,10
2036,1,10
1184,1,10
1697,1,10
1972,1,10
1904,1,10
1576,1,10
1850,1,10
1018,1,10
2516,1,10
1956,1,10
2185,1,10
1081,1,10
1752,1,10
1076,1,10
2350,1,10
1854,1,10
2482,1,10
2073,1,10
2174,1,10
1191,1,10
1075,1,10
1161,1,10
2402,1,10
2472,1,10
2607,1,10
1735,1,10
1746,1,10
1689,1,10
1833,1,10
1032,1,10
1267,1,10
1235,1,10
2120,1,10
1486,1,10
1497,1,10
2405,1,10
1895,1,10
1359,1,10
64,1,10
1306,1,10
2367,1,10
2340,1,10
1122,1,10
2138,1,10
1199,1,10
1838,1,10
2347,1,10
2618,1,10
1867,1,10
1150,1,10
1135,1,10
2565,1,10
2154,1,10
1957,1,10
2196,1,10
1100,1,10
1792,1,10
1704,1,10
1004,1,10
1881,1,10
2344,1,10
1125,1,10
2228,1,10
2369,1,10
1555,1,10
1587,1,10
1158,1,10
1692,1,10
1910,1,10
1153,1,10
2162,1,10
2348,1,10
1220,1,10
2012,1,10
2168,1,10
1764,1,10
